"Date","Time","Open","High","Low","Close","Up","Down"
01/05/2019,02:00,1575.57,1584.72,1573.85,1580.54,132711,119750
01/05/2019,02:30,1581.08,1590.69,1581.01,1589.67,131553,112170
01/05/2019,03:00,1590.18,1594.00,1578.48,1582.00,169818,177543
01/05/2019,03:30,1582.39,1589.46,1578.44,1587.70,94183,84885
01/05/2019,04:00,1587.36,1587.36,1573.79,1574.34,111685,132585
01/05/2019,04:30,1574.29,1579.49,1567.80,1569.84,150911,174665
01/05/2019,05:00,1569.64,1575.79,1568.52,1575.78,217067,240947
01/07/2019,23:00,1603.10,1616.98,1589.19,1605.15,432172,375125
01/07/2019,23:30,1603.70,1607.85,1590.27,1603.49,192916,230946
01/08/2019,00:00,1603.50,1624.65,1603.50,1621.76,243910,194533
01/08/2019,00:30,1621.50,1626.50,1613.25,1613.97,173372,172849
01/08/2019,01:00,1615.00,1628.74,1613.09,1626.07,173275,147205
01/08/2019,01:30,1626.20,1627.05,1617.50,1623.72,81193,83267
01/08/2019,02:00,1623.75,1626.53,1621.30,1622.66,88475,68653
01/08/2019,02:30,1623.43,1625.60,1621.84,1625.09,68394,81901
01/08/2019,03:00,1625.26,1634.56,1623.28,1624.00,185288,163114
01/08/2019,03:30,1623.75,1628.00,1617.39,1620.06,114981,128435
01/08/2019,04:00,1620.66,1624.50,1618.35,1619.46,63721,75219
01/08/2019,04:30,1619.51,1632.20,1619.21,1630.48,112252,98850
01/08/2019,05:00,1630.80,1634.31,1625.04,1629.46,190808,190949
01/08/2019,23:00,1663.80,1676.61,1652.05,1653.84,617646,498415
01/08/2019,23:30,1654.36,1665.06,1646.01,1649.60,245645,250830
01/09/2019,00:00,1649.82,1651.51,1616.61,1627.47,263506,315961
01/09/2019,00:30,1627.86,1651.99,1625.77,1643.76,282740,253413
01/09/2019,01:00,1644.25,1650.50,1638.05,1649.50,131908,122043
01/09/2019,01:30,1649.00,1660.50,1648.98,1655.70,145872,132590
01/09/2019,02:00,1656.04,1658.50,1645.30,1650.09,85645,94481
01/09/2019,02:30,1649.74,1658.83,1647.00,1654.00,64491,61528
01/09/2019,03:00,1654.26,1659.61,1647.50,1656.94,72463,71295
01/09/2019,03:30,1657.00,1664.00,1655.26,1658.60,97301,90287
01/09/2019,04:00,1658.25,1662.00,1655.01,1655.90,66414,67549
01/09/2019,04:30,1655.61,1658.37,1652.32,1656.42,65490,72490
01/09/2019,05:00,1656.79,1660.43,1653.19,1656.56,144937,142910
01/09/2019,23:00,1653.89,1667.80,1641.40,1659.22,441049,534313
01/09/2019,23:30,1659.39,1662.22,1649.44,1658.32,166290,183501
01/10/2019,00:00,1657.92,1657.92,1646.58,1652.10,147730,165875
01/10/2019,00:30,1652.25,1660.76,1649.53,1658.00,101572,98834
01/10/2019,01:00,1658.00,1663.41,1652.77,1661.36,84438,83088
01/10/2019,01:30,1661.01,1663.62,1658.54,1660.46,45433,45156
01/10/2019,02:00,1660.85,1663.67,1657.32,1660.17,38340,46955
01/10/2019,02:30,1661.39,1661.61,1657.00,1660.02,35337,28755
01/10/2019,03:00,1659.55,1663.15,1656.13,1658.71,77199,52268
01/10/2019,03:30,1658.50,1667.00,1654.96,1658.23,148507,140262
01/10/2019,04:00,1657.95,1665.48,1655.57,1661.63,66627,64123
01/10/2019,04:30,1661.92,1667.00,1660.83,1664.51,72879,71673
01/10/2019,05:00,1664.81,1664.81,1652.00,1660.00,129773,129592
01/10/2019,23:00,1643.65,1645.00,1621.62,1627.42,328551,480330
01/10/2019,23:30,1627.47,1645.50,1625.51,1643.86,223156,212962
01/11/2019,00:00,1644.44,1655.68,1641.32,1653.78,156868,160770
01/11/2019,00:30,1653.97,1659.99,1649.00,1651.05,146741,158280
01/11/2019,01:00,1651.44,1657.68,1649.60,1654.87,91437,86853
01/11/2019,01:30,1654.52,1656.99,1649.37,1654.24,65010,56714
01/11/2019,02:00,1654.65,1663.25,1650.51,1659.75,116834,101563
01/11/2019,02:30,1659.56,1660.29,1644.00,1651.51,123291,132192
01/11/2019,03:00,1651.76,1652.75,1640.50,1647.49,121202,93085
01/11/2019,03:30,1646.75,1657.54,1646.75,1653.68,101955,105247
01/11/2019,04:00,1653.78,1655.33,1649.03,1654.50,72344,64077
